SID,entry,evaluation,replacement
65e862f844f1b7a803bb3c5a,gardening,FOUND,gardening
65e862f844f1b7a803bb3c5a,scrapbooking,FOUND,scrapbooking
65e862f844f1b7a803bb3c5a,fishing,FOUND,fishing
65e862f844f1b7a803bb3c5a,chess,FOUND,chess
65e862f844f1b7a803bb3c5a,music,REPLACE,mosaics
65e862f844f1b7a803bb3c5a,what do,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,graffiti,REPLACE,graffiti art
65e862f844f1b7a803bb3c5a,kayaking,FOUND,kayaking
65e862f844f1b7a803bb3c5a,running,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Compton,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,card,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,games,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,sleeping,REPLACE,fishkeeping
65e862f844f1b7a803bb3c5a,driving,REPLACE,editing
65e862f844f1b7a803bb3c5a,sightseeing,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,soccer,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,basketball,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Docs,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,ice,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,hockey,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,gymnastics,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,fencing,FOUND,fencing
65e862f844f1b7a803bb3c5a,authorism,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,dying,REPLACE,editing
5f5aa60bef062519ff711fe6,knitting,FOUND,knitting
5f5aa60bef062519ff711fe6,crocheting,FOUND,crocheting
5f5aa60bef062519ff711fe6,gaming,REPLACE,camping
5f5aa60bef062519ff711fe6,racing,REPLACE,drawing
5f5aa60bef062519ff711fe6,running,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,swimming,REPLACE,sewing
5f5aa60bef062519ff711fe6,bird,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,watching,REPLACE,birdwatching
5f5aa60bef062519ff711fe6,hiking,FOUND,hiking
5f5aa60bef062519ff711fe6,climbing,FOUND,climbing
5f5aa60bef062519ff711fe6,skydiving,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,flying,REPLACE,felting
5f5aa60bef062519ff711fe6,a plane,REPLACE,rc planes
5f5aa60bef062519ff711fe6,collecting,REPLACE,cd collecting
5f5aa60bef062519ff711fe6,drawing,FOUND,drawing
5f5aa60bef062519ff711fe6,creating,REPLACE,crocheting
5f5aa60bef062519ff711fe6,playing,REPLACE,pickling
5f5aa60bef062519ff711fe6,sports,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,baseball,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,hockey,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,basketball,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,football,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,soccer,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,3D,EXCLUDE,EXCLUDE
5f5aa60bef062519ff711fe6,printing,REPLACE,painting
5f5aa60bef062519ff711fe6,studying,REPLACE,shooting
5885f97f41da4500014d3645,planes,REPLACE,rc planes
5885f97f41da4500014d3645,boats,REPLACE,rc boats
5885f97f41da4500014d3645,RC,EXCLUDE,EXCLUDE
5885f97f41da4500014d3645,music,REPLACE,mosaics
5885f97f41da4500014d3645,miniature,EXCLUDE,EXCLUDE
5885f97f41da4500014d3645,board,EXCLUDE,EXCLUDE
5885f97f41da4500014d3645,games,EXCLUDE,EXCLUDE
5885f97f41da4500014d3645,Warhammer,REPLACE,warhammer
5885f97f41da4500014d3645,masturbating,EXCLUDE,EXCLUDE
5885f97f41da4500014d3645,video,EXCLUDE,EXCLUDE
5885f97f41da4500014d3645,games,EXCLUDE,EXCLUDE
5885f97f41da4500014d3645,walking,REPLACE,baking
5885f97f41da4500014d3645,painting,FOUND,painting
5885f97f41da4500014d3645,drawing,FOUND,drawing
65b15afd94153c1f50c92493,painting,FOUND,painting
65b15afd94153c1f50c92493,drawing,FOUND,drawing
65b15afd94153c1f50c92493,skating,REPLACE,sketching
65b15afd94153c1f50c92493,Reading,REPLACE,beading
65b15afd94153c1f50c92493,Writing,REPLACE,editing
65b15afd94153c1f50c92493,crochet,REPLACE,crocheting
65b15afd94153c1f50c92493,sewing,FOUND,sewing
65b15afd94153c1f50c92493,coloring,REPLACE,cooking
65b15afd94153c1f50c92493,fishing,FOUND,fishing
65b15afd94153c1f50c92493,camping,FOUND,camping
65b15afd94153c1f50c92493,driving,REPLACE,editing
65b15afd94153c1f50c92493,collecting,REPLACE,cd collecting
65b15afd94153c1f50c92493,hit,EXCLUDE,EXCLUDE
65b15afd94153c1f50c92493,music,REPLACE,mosaics
65e1f75ab3efd22e847cfbf0,Reading,REPLACE,beading
65e1f75ab3efd22e847cfbf0,Writing,REPLACE,editing
65e1f75ab3efd22e847cfbf0,video,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,games,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,working out,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,painting,FOUND,painting
65e1f75ab3efd22e847cfbf0,dance,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,growing,REPLACE,drawing
65e1f75ab3efd22e847cfbf0,Pottery,REPLACE,pottery
65e1f75ab3efd22e847cfbf0,knitting,FOUND,knitting
65e1f75ab3efd22e847cfbf0,photography,FOUND,photography
65e1f75ab3efd22e847cfbf0,sewing,FOUND,sewing
65e1f75ab3efd22e847cfbf0,Garden,REPLACE,gardening
65e1f75ab3efd22e847cfbf0,learning,REPLACE,gardening
65e1f75ab3efd22e847cfbf0,cooking,FOUND,cooking
65e1f75ab3efd22e847cfbf0,singing,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,video,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,games,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,backpacking,FOUND,backpacking
65e1f75ab3efd22e847cfbf0,running,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,hunting,FOUND,hunting
65e1f75ab3efd22e847cfbf0,soccer,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,yoga,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,when I was,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,Kohl's,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,walking,REPLACE,baking
65e1f75ab3efd22e847cfbf0,basketball,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,Pilates,REPLACE,philately
65e1f75ab3efd22e847cfbf0,swimming,REPLACE,sewing
65e1f75ab3efd22e847cfbf0,football,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,bowling,REPLACE,boxing
65e1f75ab3efd22e847cfbf0,hockey,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,surfing,REPLACE,windsurfing
65e1f75ab3efd22e847cfbf0,tennis,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,baseball,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,dancing,REPLACE,tap dancing
65e1f75ab3efd22e847cfbf0,karate,FOUND,karate
65e1f75ab3efd22e847cfbf0,cheerleading,EXCLUDE,EXCLUDE
